gt,subsistema,componente,cnpjs_unicos,destaques_faturamento,destaques_patentes,component_id
GT 1 – Baterias,3. Módulos e Estruturas,3.3 Conectores Elétricos,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-3-modulos-e-estruturas-3-3-conectores-eletricos
GT 1 – Baterias,4. BMS e Eletrônica,4.4 Fiação / Cabos / Chicotes,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-4-bms-e-eletronica-4-4-fiacao-cabos-chicotes
GT 1 – Baterias,4. BMS e Eletrônica,4.5 Relés / Contatores / Fusíveis,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-4-bms-e-eletronica-4-5-reles-contatores-fusiveis
GT 1 – Baterias,6. Segurança e Proteção,6.1 Fusíveis,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-6-seguranca-e-protecao-6-1-fusiveis
GT 1 – Baterias,6. Segurança e Proteção,6.2 Disjuntores,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-6-seguranca-e-protecao-6-2-disjuntores
GT 1 – Baterias,6. Segurança e Proteção,6.3 Contatores de Alta Tensão,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-6-seguranca-e-protecao-6-3-contatores-de-alta-tensao
GT 1 – Baterias,7. Interconexões e Alta Tensão,7.2 Conectores HV,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-7-interconexoes-e-alta-tensao-7-2-conectores-hv
GT 1 – Baterias,5. Sistema Térmico,5.4 Fluído Térmico,199,ROBERT BOSCH LIMITADA (1B OU SUPERIOR) | SAINT-GOBAIN BRASIL PRODUTOS INDU... (1B OU SUPERIOR),ROBERT BOSCH LIMITADA | SAINT-GOBAIN BRASIL PRODUTOS INDU...,gt-1-baterias-5-sistema-termico-5-4-fluido-termico
GT 1 – Baterias,2. Célula e Componentes da Célula,2.5 Válvulas de Alívio (CID) e Dispositivos de Segurança,181,DOCOL (1B OU SUPERIOR) | SCHULZ S/A (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | DOCOL,gt-1-baterias-2-celula-e-componentes-da-celula-2-5-valvulas-de-alivio-ci
GT 1 – Baterias,5. Sistema Térmico,5.2 Bombas / Válvulas,181,DOCOL (1B OU SUPERIOR) | SCHULZ S/A (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | DOCOL,gt-1-baterias-5-sistema-termico-5-2-bombas-valvulas
GT 1 – Baterias,"8. Testes, Validação e Certificação",8.2 Instrumentação e Medição,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-8-testes-validacao-e-certificacao-8-2-instrumentacao-e-med
GT 1 – Baterias,"8. Testes, Validação e Certificação",8.4 Software de Teste e Validação,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-1-baterias-8-testes-validacao-e-certificacao-8-4-software-de-teste-e
GT 1 – Baterias,2. Célula e Componentes da Célula,2.2 Coletor de Corrente – Ânodo (Cobre),76,ALCOA ALUMINIO S/A (1B OU SUPERIOR) | HYDRO EXTRUSION BRASIL S/A (1B OU SUPERIOR),ALCOA ALUMINIO S/A | HYDRO EXTRUSION BRASIL S/A,gt-1-baterias-2-celula-e-componentes-da-celula-2-2-coletor-de-corrente-a
GT 1 – Baterias,1. Materiais Ativos e Químicos,"1.1 Cátodos (NMC, LFP etc.)",0,-,-,gt-1-baterias-1-materiais-ativos-e-quimicos-1-1-catodos-nmc-lfp-etc
GT 1 – Baterias,1. Materiais Ativos e Químicos,1.4 Aditivos,0,-,-,gt-1-baterias-1-materiais-ativos-e-quimicos-1-4-aditivos
GT 1 – Baterias,1. Materiais Ativos e Químicos,1.5 Solventes,0,-,-,gt-1-baterias-1-materiais-ativos-e-quimicos-1-5-solventes
GT 1 – Baterias,4. BMS e Eletrônica,4.1 Placas Eletrônicas (PCBA),0,-,-,gt-1-baterias-4-bms-e-eletronica-4-1-placas-eletronicas-pcba
